Order_ID,Order_Date,Delivery_Date,Customer_Type,Delivery_Type,Area,Distance_KM,Cylinders,Delivery_Days,Status,,calculated kms
5001,18/04/2024,23/04/2024,Domestic,Home,Area F,59,1,5,Delayed,,59
5002,03/02/2024,10/02/2024,Domestic,Home,Area F,59,1,7,Delayed,,60
5003,19/04/2024,19/04/2024,Domestic,Walk-in,Agency Area,1,1,0,On-Time,,4
5004,15/06/2024,16/06/2024,Domestic,Home,Area A,17,1,1,On-Time,,17
5005,17/04/2024,22/04/2024,Domestic,Home,Area F,56,1,5,Delayed,,56
5006,13/04/2024,13/04/2024,Commercial,Walk-in,Agency Area,5,6,0,On-Time,,1
5007,12/01/2024,16/01/2024,Domestic,Home,Area A,18,1,4,Delayed,,18
5008,22/03/2024,26/03/2024,Domestic,Home,Area A,20,1,4,Delayed,,20
5009,18/03/2024,22/03/2024,Commercial,Home,Area C,26,5,4,Delayed,,27
5010,21/06/2024,24/06/2024,Domestic,Home,Area F,56,1,3,Delayed,,57
5011,28/06/2024,12/07/2024,Domestic,Home,Area D,42,1,14,Delayed,,42
5012,08/01/2024,10/01/2024,Domestic,Home,Area C,28,1,2,On-Time,,28
5013,14/02/2024,17/02/2024,Domestic,Home,Area B,24,1,3,Delayed,,21
5014,29/02/2024,29/02/2024,Domestic,Walk-in,Nearby Area 2,11,1,0,On-Time,,15
5015,12/02/2024,18/02/2024,Domestic,Home,Area C,29,1,6,Delayed,,34
5016,27/04/2024,11/05/2024,Domestic,Home,Area A,20,1,14,Delayed,,19
5017,10/05/2024,10/05/2024,Commercial,Walk-in,Agency Area,2,5,0,On-Time,,2
5018,18/01/2024,24/01/2024,Domestic,Home,Area D,43,1,6,Delayed,,43
5019,14/06/2024,18/06/2024,Domestic,Home,Area D,39,1,4,Delayed,,36
5020,29/04/2024,30/04/2024,Domestic,Home,Area F,60,1,1,On-Time,,60
5021,27/01/2024,29/01/2024,Domestic,Home,Area D,44,1,2,On-Time,,43
5022,08/05/2024,12/05/2024,Domestic,Home,Area F,58,1,4,Delayed,,56
5023,02/04/2024,06/04/2024,Domestic,Home,Area E,50,1,4,Delayed,,50
5024,10/04/2024,12/04/2024,Domestic,Home,Area B,24,1,2,On-Time,,22
5025,15/06/2024,21/06/2024,Domestic,Home,Area B,24,1,6,Delayed,,25
5026,27/06/2024,29/06/2024,Domestic,Home,Area A,17,1,2,On-Time,,19
5027,23/03/2024,26/03/2024,Domestic,Home,Area A,20,1,3,Delayed,,19
5028,26/04/2024,28/04/2024,Domestic,Home,Area C,34,1,2,On-Time,,34
5029,07/02/2024,12/02/2024,Commercial,Home,Area F,58,6,5,Delayed,,59
5030,12/03/2024,15/03/2024,5kg,Home,Area A,19,1,3,Delayed,,20
5031,10/06/2024,12/06/2024,Domestic,Home,Area D,41,1,2,On-Time,,36
5032,18/05/2024,23/05/2024,Commercial,Home,Area C,27,5,5,Delayed,,29
5033,01/05/2024,08/05/2024,Domestic,Home,Area D,36,1,7,Delayed,,38
5034,31/05/2024,02/06/2024,Domestic,Home,Area C,29,1,2,On-Time,,28
5035,10/05/2024,13/05/2024,Commercial,Home,Area E,46,5,3,Delayed,,55
5036,19/03/2024,23/03/2024,Domestic,Home,Area F,59,1,4,Delayed,,59
5037,28/04/2024,30/04/2024,Domestic,Home,Area E,54,1,2,On-Time,,51
5038,13/05/2024,17/05/2024,Domestic,Home,Area D,40,1,4,Delayed,,42
5039,11/02/2024,21/02/2024,Commercial,Home,Area A,17,5,10,Delayed,,17
5040,09/03/2024,11/03/2024,Commercial,Home,Area D,39,3,2,On-Time,,37
5041,03/06/2024,04/06/2024,Domestic,Home,Area B,21,1,1,On-Time,,22
5042,19/04/2024,23/04/2024,Domestic,Home,Area D,40,1,4,Delayed,,36
5043,20/02/2024,23/02/2024,Commercial,Home,Area E,51,6,3,Delayed,,52
5044,28/04/2024,28/04/2024,Domestic,Walk-in,Nearby Area 2,11,1,0,On-Time,,13
5045,27/04/2024,01/05/2024,Domestic,Home,Area A,17,1,4,Delayed,,19
5046,28/02/2024,02/03/2024,Domestic,Home,Area A,16,1,3,Delayed,,19
5047,25/01/2024,31/01/2024,Domestic,Home,Area F,57,1,6,Delayed,,59
5048,13/01/2024,13/01/2024,Domestic,Walk-in,Nearby Area 1,7,1,0,On-Time,,8
5049,15/03/2024,15/03/2024,Domestic,Walk-in,Nearby Area 2,13,1,0,On-Time,,14
5050,23/06/2024,27/06/2024,Domestic,Home,Area F,59,1,4,Delayed,,58
5051,25/03/2024,31/03/2024,Domestic,Home,Area E,46,1,6,Delayed,,46
5052,02/06/2024,07/06/2024,Domestic,Home,Area D,38,1,5,Delayed,,37
5053,25/03/2024,01/04/2024,Domestic,Home,Area E,48,1,7,Delayed,,46
5054,06/02/2024,09/02/2024,Domestic,Home,Area A,19,1,3,Delayed,,20
5055,29/03/2024,31/03/2024,Domestic,Home,Area B,21,1,2,On-Time,,22
5056,12/05/2024,14/05/2024,Domestic,Home,Area F,60,1,2,On-Time,,59
5057,27/05/2024,29/05/2024,Domestic,Home,Area B,22,1,2,On-Time,,23
5058,21/05/2024,24/05/2024,Commercial,Home,Area C,31,5,3,Delayed,,35
5059,21/06/2024,26/06/2024,Commercial,Home,Area C,32,2,5,Delayed,,34
5060,24/01/2024,30/01/2024,Domestic,Home,Area B,22,1,6,Delayed,,24
5061,08/02/2024,12/02/2024,Domestic,Home,Area F,60,1,4,Delayed,,58
5062,25/01/2024,26/01/2024,Domestic,Home,Area F,56,1,1,On-Time,,56
5063,07/06/2024,09/06/2024,Domestic,Home,Area B,21,1,2,On-Time,,23
5064,09/05/2024,13/05/2024,Domestic,Home,Area B,25,1,4,Delayed,,21
5065,27/05/2024,30/05/2024,Domestic,Home,Area A,16,1,3,Delayed,,17
5066,14/05/2024,20/05/2024,Domestic,Home,Area F,58,1,6,Delayed,,57
5067,25/05/2024,27/05/2024,Commercial,Home,Area B,25,4,2,On-Time,,24
5068,02/03/2024,04/03/2024,Domestic,Home,Area B,22,1,2,On-Time,,22
5069,08/04/2024,08/04/2024,Commercial,Walk-in,Agency Area,3,5,0,On-Time,,5
5070,30/04/2024,04/05/2024,Domestic,Home,Area B,24,1,4,Delayed,,25
5071,24/03/2024,27/03/2024,Domestic,Home,Area A,20,1,3,Delayed,,19
5072,10/03/2024,15/03/2024,Domestic,Home,Area A,16,1,5,Delayed,,19
5073,26/01/2024,02/02/2024,Domestic,Home,Area B,23,1,7,Delayed,,23
5074,11/02/2024,16/02/2024,Domestic,Home,Area E,54,1,5,Delayed,,52
5075,02/05/2024,02/05/2024,Domestic,Walk-in,Agency Area,3,1,0,On-Time,,2
